Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar
2027,dargle,Noun,"a day excursion, a picnic out of the city Early 1900s, Traditional, Waxies' Dargle (song) Says my aul' one to your aul' one ""Will ye come to the Waxies' dargle?"""," Ireland, dated, Dublin",,False,False,False,False
2214,darklier,Adverb,comparative form of darkly: more darkly," literary, dated",,False,False,False,False
2215,darkliest,Adverb,superlative form of darkly: most darkly," literary, dated",,False,False,False,False
2443,dash,Noun,"A stand-in for a censored word, like ""Devil"" or ""damn"""," dated, euphemistic","(Compare deuce.) 1853, William Makepeace Thackeray, The Newcomes, Chapter VI, serialized in Harper's New Monthly Magazine, (VIII, no. 43, Dec 1853) p. 118 Sir Thomas looks as if to ask what the dash is that to you! but wanting still to go to India again, and knowing how strong the Newcomes are in Leadenhall Street, he thinks it necessary to be civil to the young cub, and swallows his pride once more into his waistband. Comment: Some editions leave this passage out. Of those that include it, some change the 'you!' to 'you?'. 1884, Lord Robert Gower, My Reminiscences, reprinted in ""The Evening Lamp"", The Christian Union, (29) 22, (May 29, 1884) p. 524 Who the dash is this person whom none of us know? and what the dash does he do here?",False,False,False,False
2449,dash,Verb,"To mix, reduce, or adulterate, by throwing in something of an inferior quality"," transitive, dated",to dash wine with water,False,False,False,False
2476,dashed,Adjective,Damned," Britain, dated, informal, euphemistic","It's a dashed shame that Tarquin failed all his A-levels we were hoping to get him into Oxford. 1824, ""Kiddywinkle History, No. II"", Blackwood's Magazine (15, May 1824) p. 540 I'll be dashed if I gan another step for less 'an oaf. 1939, P. G. Wodehouse, Uncle Fred in the Springtime Chapter 8 I'll be dashed if I squash in with any domestic staff.",False,False,False,False
2515,dashy,Adjective,Calculated to arrest attention; ostentatiously fashionable; showy.," colloquial, dated",,False,False,False,False
2565,dasymeter,Noun,"An instrument for testing the density of gases, consisting of a thin glass globe, which is weighed in the gas or gases, and then in an atmosphere of known density", dated,"1894, The Journal of the Iron and Steel Institute, volume 44, page 340:The dasymeter consists of a two-armed lever or balance beam, on one arm of which is a hermetically sealed glass sphere of 3 litres capacity, while the other arm carries a balancing weight. The higher the percentage of carbonic anhydride contained in the gas to be examined, the higher will be its specific gravity, and consequently the greater its weight. 1896, The Sibley Journal of Engineering, volume 10, page 116:With the idea that regulation of air supply would secure great economy of fuel, an instrument called a dasymeter has been invented to indicate the percentage of carbonic acid in the products of combustion; the weight of a vessel, through which gases are being continually drawn from the chimney of a boiler, is indicated on a scale which shows the percentage of carbonic acid compared with the weight of pure air. 1899, Adolf Martens, Handbook of testing materials:Spring-balances are in use in numerous early forms of so-called dynamometers, dasymeters, etc., in machines used for testing paper, textile fabrics, wire, etc., as in the apparatus of Hartig-Reusch, Wendler, Martens.",False,False,False,False
2615,data controller,Noun,"A clerk who scheduled batch jobs on a mainframe computer, and who distributed printed output"," dated, computing",,False,False,False,False
3012,daturic acid,Noun,"An organic compound with chemical formula C17H34O2, isolated from Datura stramonium."," organic chemistry, dated",,False,False,False,False
3737,daïs,Noun,Alternative spelling of dais., dated,,False,False,False,False
3738,daïses,Noun,plural of das (alternative spelling of daises)., dated,,False,False,False,False
4244,dead horse,Noun,"The period of work on board ship for which the seamen have been paid in advance (usually a month's wages), the end of this term being celebrated by parading a straw horse about the decks."," dated, nautical",,False,False,False,False
4680,deadstart,Noun,A bootup procedure.," computing, dated",,False,False,False,False
4681,deadstart,Verb,To boot up.," computing, dated, transitive",,False,False,False,False
4972,deambulatory,Noun,A covered place in which to walk; an ambulatory., dated,,False,False,False,False
5033,dear,Adjective,High in price; expensive, generally dated,"The dearer the jewel, the greater the love expressed. 1596-97, William Shakespeare, The Merchant Of Venice, Act IV Scene 1 There's more depends on this than on the value. The dearest ring in Venice will I give you, And find it out by proclamation: Only for this, I pray you, pardon me. 1902, Briquettes as Fuel in Foreign Countries (report of the United States Bureau of Foreign Commerce): This water is sold for 50 cents per ton, which is not dear under the circumstances.",False,False,False,False
5420,deathrate,Noun,"Alternative spelling of death rate 1922, Statistical Bulletin, Vol III, No", dated,"1, Metropolitan Life Insurance Co., page 8: At ages under 25 years, the deathrate declined sharply. The decline in the deathrate for children under 15 years resulted from the lower diphtheria, scarlet fever and whooping cough rates; among adolescents the lower tuberculosis mortality was the chief factor back of the lower rates. 1931, Henry Pratt Fairchild, The Survey, Volume LXVI, No. 11, Survey Associates, ""When Our Deathrate Goes Up"", page 510: It is a striking fact, though seemingly little recognized, that the deathrate in the United States has been barely holding its own since 1920, in spite of all the advances in sanitation, medicine and surgery that have taken place. 1932, M. W. M. Yeatts, Census of India, 1931, Volume XIV: Madras, Part I: Report, Government of India Central Publication Branch, page 27: During the decade birth and death figures were related to this quite unrepresentative population with the consequence that Salem showed birthrates of over 60 and deathrates of corresponding elevation in gross contradiction to recognized facts.",False,False,False,False
5568,debarrass,Verb,"To disembarrass, disentangle, or free from"," dated, transitive","1847, Charlotte Bront, Jane Eyre, 1st edition, chapter X, page 156-157 Miss Gryce snored at last: [] I was debarrassed of interruption; my half-effaced thought instantly revived.",False,False,False,False
6218,decalcomanie,Noun,decalcomania, dated,,False,False,False,False
6601,decayed,Adjective,Reduced in circumstances; having lost one's status or fortune., dated,,False,False,False,False
7079,decimalism,Noun,The decimal system., dated,,False,False,False,False
