Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar,abbreviation,abbreviation_for_term,plural,plurality_of_term,misspelling,misspelling_for_term,initialism,initialism_for_term,synonym,synonym_for_term,attribute,property,process,matter,role,measure,units
5314,fathom,Noun,Various similar units in other systems., units of measure,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
12727,finger,Noun,"Various units of measure based or notionally based on the adult human finger, particularly (historical) Synonym of digit: former units of measure notionally based on its width but variously standardized, (especially) the English digit of 116foot (about 1.9cm)", units of measure,"(Can we date this quote?) Bishop John Wilkins a piece of steel three fingers thick (historical) A unit of length notionally based on the length of an adult human's middle finger, standardized as 4inches (11.43cm). (historical) Synonym of digit: 112 the observed diameter of the sun or moon, (especially) with regard to eclipses. (originally US) An informal measure of alcohol based on its height in a given glass compared to the width of the pourer's fingers while holding it. Gimme three fingers of bourbon.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
23837,foot,Noun,"A unit of measure equal to twelve inches or one third of a yard, equal to exactly 30.48 centimetres",,"usagecoord. 1963, Margery Allingham, chapter 20, in The China Governess[2]:No. I only opened the door a foot and put my head in. The street lamps shine into that room. I could see him. He was all right. Sleeping like a great grampus. Poor, poor chap. The flag pole at the local high school is about 20 feet high.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
23838,foot,Noun,"A unit of measure for organ pipes equal to the wavelength of two octaves above middle C, approximately 328 mm.", music,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
1857,Dobson unit,Noun,A unit of measurement of the amount of a trace gas (typically ozone) in a vertical column through the Earth's atmosphere.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
5363,Swedish mile,Noun,"A unit of measure used in Sweden and other parts of Scandinavia, today with a length of 10 kilometres, but formerly with different values.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
2358,magic point,Noun,A unit of measure indicating the amount of magical energy or power available to a character in a role-playing game, fantasy role-playing games,Abbreviated MP.,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
26461,microinch,Noun,"A unit of measurement, the length of one one-millionth of an inch, equivalent to 25.4 nanometers",,Symbol: in,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
26600,microlambert,Noun,"A unit of measure, one millionth of a lambert.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
29697,mil,Noun,"A unit of measurement equal to 11000 of an inch, usually used for thin objects, such as sheets of plastic.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
30585,millihenry,Noun,"A unit of measure, one thousandth of a henry.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
30603,millilitre,Noun,"A unit of measure of capacity, being one thousandth of a litre", British spelling,Symbol: ml,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
30697,milliosmol,Noun,"A unit of measure, one thousandth of an osmol.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
30701,milliosmole,Noun,A unit of measurement equal to one thousandth of an osmole.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
38732,modius,Noun,A Roman dry measure of about a peck or 9L.," Ancient Rome, historical units of measure",,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
38733,modius,Noun,Various medieval units of dry and liquid volume., historical units of measure,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
44264,morgen,Noun,"A unit of measurement of land in the Netherlands and the Dutch colonies and parts of the United States, where it was equivalent to about two acres; and in Denmark, Norway, and Germany, where it was equivalent to about two-thirds of an acre", chiefly historical,"Now used informally in Germany to mean one quarter of a hectare. [from 17th c.] 1969, Doris Lessing, The Four-Gated City, 1993 edition, HarperCollins, page 68:All my life spent hating a poor little tyrant on a few morgen of poor soil, and he'd never known anything else.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
14518,united inch,Noun,"A unit of measurement of window frames, treating the combined width and height in inches as a single measure of length.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
5081,juger,Noun,"A Roman unit of area, equivalent to 2 acti or 28,800 square feet (about ha).", historical units of measure,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
40581,rottol,Noun,"A former Middle Eastern and North African unit of dry weight, usually between 15 pounds (0.52.5 kg)", historical units of measure,"1819, Abraham Rees, The Cyclopaedia, Vol. XXX, p. 614: ROTTOLO, in Commerce, a weight used in Italy and the Levant. At Aleppo, and its port Scanderoon, the cantaro contains 100 rottoli, each of which is subdivided into 12 ounces, or 720 drachms; the great cantaro of Tripoli contains 175 rottoli, and the zurlo consists of 27 rottoli. This rottolo, with which most sorts of goods are weighed, weighs 5 lbs. avoirdupois nearly. The rottolo with which the silks from Tripoli, and other parts of Syria, are weighed, consists of 700 drachms, answering to 4 avoirdupois. The rottolo used in weighing the Persian silks contains 680 drachms, or nearly 4 lbs. avoirdupois. The rottolo of Damascus, with which brass, camphor, benzoin, spikenard, balsam of Mecca, and other drugs are weighed, contains 600 drachms, or 415 lbs. avoirdupois. Five rottoli, or 3600 drachms, make what is called a vesno... At Saide, in Syria, (the ancient Sidon,) silk and sattin yarn are weighed with the rottolo of Damascus, of 600 drachms; 100 such rottoli answering to about 410 lbs. avoirdupois. Heavy goods are weighed with the rottolo of Acre, 100 of which are = 482 lbs. avoirdupois. At Constantinople, the cantaro, or quintal, contains 44 okes, or 100 rottoli; and the cantaro weighs about 123 lbs. avoirdupois, the oke 2lbs. 13 oz., and the rottolo 1945 oz., and the chequee 11 oz. avoirdupois. At Leghorn, the rottolo is 3 lbs. At Naples, the cantaro grosso contains 100 rottoli, each weighing 33 ounces of the gold and silver weight, or 3137 ounces avoirdupois. Hence 28 rottoli = 55 lbs. avoirdupois, and the cantaro grosso = 196 lbs. avoirdupois. The cantaro picolo is = 106 lbs. avoirdupois nearly. In Sicily these different weights are used, viz. the rottolo grosso of 33 ounces, the rottolo sotile of 30 ounces, and the libra, or pound of 12 ounces. 10 lbs. of Sicily = 7 lbs. avoirdupois nearly; and, therefore, 40 rottoli grossi, or 44 rottoli sotile = 77 lbs. avoirdupois. A cantaro grosso contains 100 rottoli grossi, or 192 lbs. avoirdupois; a cantaro sotile is 100 rottoli sottili, and is = 175 lbs. avoirdupois. At Smyrna, the cantaro, or kintal, contains 45 okes, or 100 rottoli. The batman is 6 okes, or 2400 drachms; and the oke is 400 drachms, and the rottolo = 180 drachms. The cantaro of 45 okes weighs 123 lbs. 4 oz. avoirdupois; and, therefore, the oke is = 2 lbs. 11 oz. 13 drs. avoirdupois. At Tripoli, the cantaro weight contains 100 rottoli, each of 6 ounces, or 128 termini; this cantaro answers to 168 lbs. peso sotile of Venice, or about 12 lbs. avoirdupois. At Tunis, the cantaro contains 100 rottoli, each of 16 Tunis ounces, and weighs about 111 lbs. avoirdupois... 2005 December 16, Alfred Hickling, ""Pure Thrills"" in The Guardian, p. 19: Michael Howell's troubles begin with an unauthorised laboratory order for ten rottols of absolute alcohol. One rottol equals two okes, one oke weighs just over a quarter of a kilo, and if you're dealing in such antediluvian weights and measures one must be in the notoriously unstable enclave of Middle Eastern states formerly known as the Levant.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
4656,gauge,Noun,A unit of measurement which describes how many spheres of bore diameter of a shotgun can be had from one pound of lead; 12 gauge is roughly equivalent to .75 caliber., firearms,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
10666,gigacandela,Noun,"An SI unit of measurement equivalent to one billion (109) candelas, abbreviated as Gcd.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
10681,gigaflop,Noun,A unit of measure for the calculating speed of a computer equal to one billion (109) floating point operations per second, computing,"1992 March 2, Richard Preston, The New Yorker, ""The Mountains of Pi"": The gigaflop supercomputers of today are almost useless. What is needed is a teraflop machine...",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
11061,lethek,Noun,"A former Hebrew measure of dry volume, equal to about 115L or 3bushels.", historical units of measure,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
17418,liquid measure,Noun,Any unit of measure for measuring the volume of a liquid., countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
19436,load,Noun,A unit of measure for various quantities,,"1866, James Edwin Thorold Rogers, A History of Agriculture and Prices in England, Volume 1, p. 172: If this load equals its modern representative, it contains 18 cwt. of dry, 19 of new hay. The viral load",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
25299,lugeon,Noun,"A unit of measurement of permeability, equal to one foot per year.", geology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
2532,yottahertz,Noun,A unit of measurement based on one septillion hertz.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
723,abbasi,Noun,A unit of measurement for Afghan postage stamps.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
1796,abmho,Noun,A unit of measurement in the centimeter-gram-second scale used to measure conductance., electricity,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
2932,absolute unit,Noun,"A unit of measurement that can be defined in terms of mass, length, and time.", physics,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
7361,acre foot,Noun,"A unit of measure, used for volumes of water, equal to one acre times one foot (that is, to the amount of water required to cover one acre of land to a depth of one foot), which is 43,560 cubic feet, 325,851 gallons, 1,233 cubic meters.[1]"," US, engineering, agriculture",,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
8600,actus,Noun,"A former Roman unit of length, equal to 120 Roman feet (about 35m)", historical units of measure,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
