0,1,10,11,12,13,14,15,16,17,2,3,4,5,6,7,8,9,Unnamed: 0,abbreviation,abbreviation_for_term,acronym,acronym_for_term,antonym,antonym_for_term,astrology,attribute,attributive_form,attributive_form_for_term,body,childish,colloquial,dated,definition,disease,domain,domain2,euphemistic,field,folklore,humorous,informal,jargon,literary,literature,main_noun_maria,main_noun_nltk,matter,measure,misspelling,misspelling_for_term,mythology,nonstandard,obsolete,offensive,plural,plural_for_term,pos,process,property,rare,role,slang,slur,supplementary_info,synonym,synonym_for_term,term,theology,units,vulgar
disease,,,,,,,,,,,,,,,,,,5676,False,,False,,False,,False,False,False,,False,False,False,False,Any disease that affects oligodendrocytes,True, pathology,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,oligodendropathy,False,False,False
kidney,disease,,,,,,,,,,,,,,,,,5791,False,,False,,False,,False,False,False,,False,False,False,False,"A kidney disease characterised by a larger nephrons that are reduced in number 2015 July 9, Ying Maggie Chen, Helen Liapis, Focal segmental glomerulosclerosis: molecular genetics and targeted therapies, in BMC Nephrology[1], volume 16, DOI:10.1186/s12882-015-0090-9:For example, oligomeganephronia, unilateral renal agenesis, renal dysplasia, reflux nephropathy, secondary to surgical or traumatic ablation, chronic allograft nephropathy, and other causes of nephron loss lead to FSGS.",True, pathology,False,False,False,False,False,False,False,False,False,,kidney disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,oligomeganephronia,False,False,False
disease,,,,,,,,,,,,,,,,,,6966,False,,False,,False,,False,False,False,,False,False,False,False,"A disease caused by a worm of the genus Onchocerca, especially as transmitted to humans by flies and often causing blindness; common in tropical Africa.",True, medicine,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,onchocerciasis,False,False,False
disease,or,,,,,,,,,ailment,,,,,,,,7052,False,,False,,False,,False,False,False,,False,False,False,False,A mysterious disease or ailment,True, dialectal,False,False,False,False,False,False,False,False,False,,disease or ailment,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,"1858, Sir Walter Scott, The bride of Lammermoor: This woman had acquired a considerable reputation among the ignorant by the pretended cures which she performed, especially in oncomes, as the Scotch call them, or mysterious diseases, which baffle the regular physician.",False,,oncome,False,False,False
disease,,,,,,,,,,,,,,,,,,8169,False,,False,,False,,False,False,False,,False,False,False,False,A disease of the fingernails or toenails.,True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,onychopathy,False,False,False
disease,or,,,,,,,,,disorder,,,,,,,,8180,False,,False,,False,,False,False,False,,False,False,False,False,Any disease or disorder of the fingernails or toenails,True, pathology,False,False,False,False,False,False,False,False,False,,disease or disorder,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,onychosis,False,False,False
eye,disease,,,,,,,,,,,,,,,,,9524,False,,False,,False,,False,False,False,,False,False,False,False,eye disease,True, ophthalmology,False,False,False,False,False,False,False,False,False,,eye disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,ophthalmopathy,False,False,False
disease,,,,,,,,,,,,,,,,,,9753,False,,False,,False,,False,False,False,,False,False,False,False,A parasitic disease caused by trematodes in the genus Opisthorchis.,True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,opisthorchiasis,False,False,False
disease,,,,,,,,,,,,,,,,,,10916,False,,False,,False,,False,False,False,,False,False,False,False,disease of the orbit around the eye,True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,orbitopathy,False,False,False
disease,,,,,,,,,,,,,,,,,,12543,False,,False,,False,,False,False,False,,False,False,False,False,"A zoonotic infectious disease (of birds) caused by a bacterium called Chlamydia psittaci, it can be transmitted to humans and other animals",True, medicine,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,"When carried by any species of bird belonging to the Psittacidae family (parrots), it is called psittacosis or parrot fever.",False,,ornithosis,False,False,False
disease,,,,,,,,,,,,,,,,,,12712,False,,False,,False,,False,False,False,,False,False,False,False,Any disease for which drugs are not usually developed because it is too rare to make the development profitable.,True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,orphan disease,False,False,False
disease,,,,,,,,,,,,,,,,,,14148,False,,False,,False,,False,False,False,,False,False,False,False,Any disease of a joint between bones,True, medicine,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,osteoarthropathy,False,False,False
disease,,,,,,,,,,,,,,,,,,14161,False,,False,,False,,False,False,False,,False,False,False,False,A disease associated with osteoblasts,True, pathology,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,osteoblastosis,False,False,False
disease,,,,,,,,,,,,,,,,,,14192,False,,False,,False,,False,False,False,,False,False,False,False,Any disease of bone and cartilage,True, pathology,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,osteochondropathy,False,False,False
disease,,,,,,,,,,,,,,,,,,14276,False,,False,,False,,False,False,False,,False,False,False,False,A hereditary disease characterized by brittle bones that easily fracture,True, pathology,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,"Synonyms: brittle bone disease, glass bone disease (colloquial), OI",False,,osteogenesis imperfecta,False,False,False
disease,,,,,,,,,,,,,,,,,,14456,False,,False,,False,,False,False,False,,False,False,False,False,"A disease, occurring especially in women following menopause, in which the bones become extremely porous and are subject to fracture.",True, pathology,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,osteoporosis,False,False,False
disease,,,,,,,,,,,,,,,,,,14982,False,,False,,False,,False,False,False,,False,False,False,False,Any disease of the ear,True, pathology,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,otopathy,False,False,False
disease,,,,,,,,,,,,,,,,,,24495,False,,False,,False,,False,False,False,,False,False,False,False,disease of the ovum,True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,ovopathy,False,False,False
disease,,,,,,,,,,,,,,,,,,9432,False,,False,,False,,False,False,False,,False,False,False,False,A disease that affects the ears of wheat.,True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,wheat mildew,False,False,False
disease,,,,,,,,,,,,,,,,,,10580,False,,False,,False,,False,False,False,,False,False,False,False,"A disease of salmonid fish, caused by the myxosporean parasite Myxobolus cerebralis and characterised by awkward, corkscrew-like swimming motions.",True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,whirling disease,False,False,False
disease,,,,,,,,,,,,,,,,,,11418,False,,False,,False,,False,False,False,,False,False,False,False,"A disease of grapes, first appearing in whitish pustules on the fruit, caused by the fungus Coniothyrium diplodiella.",True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,white rot,False,False,False
disease,,,,,,,,,,,,,,,,,,11420,False,,False,,False,,False,False,False,,False,False,False,False,A disease of some plants caused by the pathogen Albugo candida,True, phytopathology,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,white rust,False,False,False
disease,,,,,,,,,,,,,,,,,,11478,False,,False,,False,,False,False,False,,False,False,False,False,"A disease of the joints, especially the knee, in which the synovial membrane undergoes pulpy degeneration.",True, pathology,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,white swelling,False,False,False
disease,,,,,,,,,,,,,,,,,,12251,False,,False,,False,,False,False,False,,False,False,False,False,"A contagious disease of the respiratory system that usually affects children caused by the bacterium Bordetella pertussis, the advanced stage of which is characterised by spasms of coughing followed by a whooping sound during the intake of breath.",True, medicine,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,whooping cough,False,False,False
