term,definition
pedobarography,The study of the pressure between parts of the bottom of the foot and the surface that it moves on
pedopsychiatry,The branch of psychiatry that treats children and adolescents
peptidomics,The branch of molecular biology that studies the set of peptides of an organism.
periodontics,"The study of supporting structures of teethgums, alveolar bone, cementum, and the periodontal ligamentand diseases and conditions that affect them."
pestology,The study of pests.
petrochemistry,"The branch of chemistry that deals with petroleum, natural gas and their derivatives."
petrogenesis,The branch of petrology dealing with the origin of igneous rocks.
petrogeny,The science of the origin of rocks.
petrography,the branch of petrology that deals with the scientific description and classification of rocks
petrology,"The study of the origin, composition and structure of rock."
pharmacodynamics,The branch of pharmacology that studies the effects and modes of action of drugs upon the body.
pharmacoeconomics,The study of the economic aspects of pharmaceuticals
pharmacoepidemiology,The study of the use and effects of drugs in large numbers of people.
pharmacogenetics,The study of genetic variation that gives rise to differing responses to drugs.
pharmacogenomics,"The study of genes that code for enzymes that metabolize drugs, and the design of tailor-made drugs adapted to an individual's genetic make-up."
pharmacognosis,The branch of pharmacology that deals with unprepared medicines or simples.
pharmacology,"The science of drugs including their origin, composition, pharmacokinetics, therapeutic use, and toxicology."
pharmacomicrobiomics,The study of the effects of drugs on microbiomes
pharmacy,"The science of medicinal substances comprising pharmaceutics, pharmaceutical chemistry, pharmacology, phytochemistry and forensics."
pharology,"The study of lighthouses, or other forms of light-signalling"
phenogenetics,The branch of genetics that deals with phenotypes
phenology,The study of the effect of climate on periodic biological phenomena.
phenomenology,The study of structures of consciousness as experienced from the first-person point of view
philately,"The study of postage stamps, postal routes, postal history, etc."
philosophy of science,"The study of the assumptions, foundations, and implications of science, including such questions as what distinguishes science from non-science, what are the aims of science, or what is a successful scientific explanation of a phenomenon."
phlebology,The study of veins and their diseases etc
phonaesthetics,The study of phonaesthesia.
phonemics,The study of phonemes and their written representations.
phonetics,"The study of the physical sounds of human speech, concerned with the physical properties of speech sounds (phones), and the processes of their physiological production, auditory reception, and neurophysiological perception, and their representation by written symbols."
