term,definition
Hispanomedievalism,The study of medieval Spain.
Hittitology,The study of Hittites and their language and culture.
earthquake engineering,The study of the behavior of buildings and structures subject to seismic loading
ecclesiology,"The branch of theology concerned with the doctrines, role etc"
ecclesiology,The science of building and decorating churches.
ecoepidemiology,The study of ecological effects on health
ecogenetics,The branch of genetics that studies the influence of hereditary factors on the response of organisms to their environment
ecogeography,"The study of environmental effects on the distribution of living things 2002, V.K"
ecogeomorphology,The study of the relationships between ecology and geomorphology
ecohydrology,The study of the ecological processes associated with hydrology
ecology,The branch of biology dealing with the relationships of organisms with their environment and with each other
ecometabolomics,"The branch of metabolomics that studies the ecological effects on the metabolites of an organism 2015 May 29, Hyo Jeong Kim et al., Ecotoxicogenomic Approaches for Understanding Molecular Mechanisms of Environmental Chemical Toxicity Using Aquatic Invertebrate, Daphnia Model Organism, in International Journal of Molecular Sciences[1], volume 16, DOI:10.3390/ijms160612261:Similar to proteomics, the majority of ecometabolomics studies have focused on demonstrating that distinct metabolic profiles are observed for organisms exposed to different types of chemical stressors either in the laboratory or in the field [ 40 ]."
ecomorphology,The study of the effect of environment on the morphology of organisms; the morphology of an organism that has been affected by its environment
ecomusicology,"The study of music, culture, and nature, related to ecology and the natural environment"
econometrics,The branch of economics that applies statistical methods to the empirical study of economic theories and relationships
economicology,The study of the interrelationship between economics and ecology
economics,"The study of resource allocation, distribution and consumption; of capital and investment; and of management of the factors of production"
economy,"The study of money, currency and trade, and the efficient use of resources."
econophysics,"The study of economics using the techniques of physics 2009 September 13, Steve Lohr, Wall Streets Math Wizards Forgot a Few Variables, in New York Times[1]:Instead, Mr"
ecophysiology,"The study of the relationships between, and adaptation of, the physiology of an organism and its environment"
ecotoxicogenomics,"The study of the effects of ecology together with toxins on the genetic material of organisms 2015 May 29, Hyo Jeong Kim et al., Ecotoxicogenomic Approaches for Understanding Molecular Mechanisms of Environmental Chemical Toxicity Using Aquatic Invertebrate, Daphnia Model Organism, in International Journal of Molecular Sciences[1], volume 16, DOI:10.3390/ijms160612261:To date, Daphnia and fish, particularly zebrafish and fathead minnow, appear to be the most common model organisms for ecotoxicogenomics studies employing DNA microarrays."
effectoromics,The study of effectoromes
eidetics,The study of eidetic reduction.
eidology,The study of mental imagery
elastodynamics,The study of waves in an elastic material.
elastofluidics,The branch of engineering and technology that is concerned with the construction of devices that use the ability of elastic fluids to flow and deform under pressure
electrical engineering,"the branch of engineering that deals with the technology of electricity, especially the design and application of circuitry and equipment for power generation and distribution, machine control, and communications Synonym: electroengineering (rare)"
electricity,The study of electrical phenomena; the branch of science dealing with such phenomena
electroacoustics,the science of the interaction and interconversion of electric and acoustic phenomena
electrobiology,The study of the production and use of electricity by biological organisms.
electrocardiography,the science of the preparation and diagnostic interpretation of electrocardiograms
electrocardiology,The study of the electrical activity of the heart
electrochemistry,"The science of the chemistry associated with the flow of electricity, especially at the surface of an electrode."
electrohydrodynamics,the study of the dynamics of electrically conducting fluid
electromagnetohydrodynamics,The study of the interaction of electric and magnetic fields with electrically conducting or magnetic fluids.
electromicrobiology,The study of extracellular electric currents in microbes
electrooptics,The study of the effects of an electric field on the optical properties of a material
