Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology
19274,mercurial,Adjective,Pertaining to the astrological influence of the planet Mercury; having the characteristics of a person under such influence (see adjective sense 1)," not comparable, astrology","[from 16th c.] 1682, Joseph Blagrave, [The Effects of Directions.] The Sun Directed unto Promittors., in Obadiah Blagrave, editor, Blagraves Introduction to Astrology. In Three Parts.[], London: Printed by E. Tyler, and R. Holt, for Obadiah Blagrave,[], OCLC 228724142, part III, page 254:The Sun to the Terms of Mercury. It inclineth the native to be Mercurial, given to tudy Arts and Sciences, and to delight in reading, and to follow his Calling with chearfulnes. 1852, William Lilly; Zadkiel [pseudonym; Richard James Morrison], Of the Ninth House and Its Questions. Long Journeys, Voyages, Arts, Science, Church Preferment, Law, c., in An Introduction to Astrology[]: A Grammar of Astrology, and Tables for Calculating Nativities.[], London: H[enry] G[eorge] Bohn,[], OCLC 1077929409, page 268:6thly, The separates from a of , and applies to of , lord of the 3d; which intimated that some neighbour of the querent, either with a letter, words, or cross information, would wholly destroy the querent's hopes; and that mercurial men, viz. scholars or divines, would be his enemies: [...]",False,False,False,False,False,False,False,True
28951,midheaven,Noun,The intersection of the ecliptic and meridian, astrology,,False,False,False,False,False,False,False,True
43399,moonchild,Noun,A Cancerian, astrology,"2007, Holiday Mathis, Rock Your Stars: Your Astrological Guide to Getting It All, The punk icon and bottle-blond beauty is a moonchild who, like most Cancer women, has a ""heart of glass.""",False,False,False,False,False,False,False,True
48446,muhurtam,Noun,"An auspicious day on which an important event, usually a wedding, can be held."," India, Hinduism, astrology",,False,False,False,False,False,False,False,True
992,Geminian,Adjective,"Of, or pertaining to, the Gemini star sign", astrology,,False,False,False,False,False,False,False,True
2830,Piscean,Adjective,"Of, or pertaining to, the Pisces star sign.", astrology,,False,False,False,False,False,False,False,True
16271,refranation,Noun,The failure of a planetary aspect to occur., astrology,,False,False,False,False,False,False,False,True
23094,lord,Noun,"The heavenly body considered to possess a dominant influence over an event, time, etc", astrology,"c. 1391, Geoffrey Chaucer, Treatise on the Astrolabe, ii. 4: The assendent, eke the lord of the assendent, may be shapen for to be fortunat or infortunat, as thus, a fortunat assendent clepen they whan at no wykkid planete, as Saturne or Mars, or elles the tail of the dragoun, is in e hows of the assendent.",False,False,False,False,False,False,False,True
25796,lunar mansion,Noun,"a segment of the ecliptic (often called a station or house) through which the moon moves in its orbit around the earth, often used by ancient cultures as part of their calendar system."," astronomy, astrology",,False,False,False,False,False,False,False,True
16770,air sign,Noun,"Any of the three star signs Aquarius, Gemini and Libra.", astrology,,False,False,False,False,False,False,False,True
23405,ambient,Noun,"The atmosphere; the surrounding air or sky; atmospheric components collectively such as air, clouds, water vapour, hail, etc", astrology,"1662 Thomas Salusbury, Galileo's Dialogue Concerning the Two Chief World Systems (Dialogue 2): It might be also, that attracted by that great void Vacuum ... all the ambients would be rarified, and particularly, the air.",False,False,False,False,False,False,False,True
28813,angle,Noun,"Any of the four cardinal points of an astrological chart: the Ascendant, the Midheaven, the Descendant and the Imum Coeli.", astrology,,False,False,False,False,False,False,False,True
36547,antiscion,Noun,"The mirror image, or shadow, of a planet, based upon a line of reference which is the axis of 0 Cancer/0 Capricorn (the position of the sun at the solstices).", astrology,,False,False,False,False,False,False,False,True
37399,antivertex,Noun,The point exactly opposite the vertex., astrology,,False,False,False,False,False,False,False,True
38318,apheta,Noun,The planet that has the most influence on a person's life., astrology,,False,False,False,False,False,False,False,True
38321,aphetic,Adjective,Of or relating to the apheta; life-giving., astrology,,False,False,False,False,False,False,False,True
38323,aphetically,Adverb,In an aphetic way: pertaining to the apheta., astrology,,False,False,False,False,False,False,False,True
46556,ascendant,Noun,"The horoscope, or that degree of the ecliptic which rises above the horizon at the moment of one's birth; supposed to have a commanding influence on a person's life and fortune", astrology,(Can we find and add a quotation of Burke to this entry?),False,False,False,False,False,False,False,True
47329,aspect,Noun,The relative position of heavenly bodies as they appear to an observer on earth; the angular relationship between points in a horoscope, astrology,"[from 14th c.] 1667, John Milton, Paradise Lost, Book X, lines 656 to 664. [] To the blanc moon / Her office they prescribed; to the other five / Their planetary motions, and aspects, / In sextile, square, and trine, and opposite, / Of noxious efficacy, and when to join / In synod unbenign; and taught the fix'd / their influence malignant when to shower, / Which of them rising with the sun, or falling / Should prove tempestuous: [] 1683, George Wharton, Of the Planetary Aspects, both Old and New, their Characters, and quations, in John Gadbury, editor, The Works of that Late Most Excellent Philosopher and Astronomer, Sir George Wharton, Bar[onet]. Collected into One Entire Volume, London: Printed by H. H. for John Leigh, at Stationers Hall, OCLC 6498633, page 90:Kepler (the Lyncus of the lat Age) defines an Apect in this manner: Apectus et Angulus Radiis Luminois binorum Planetarum in terra formatus, efficax ad timulandum naturam ublunarem. It is (aith he) an Angle made in the Earth by the Luminous Beams of two Planets, of trength to tir up the vertue of all ublunary things.",False,False,False,False,False,False,False,True
47333,aspect,Verb,To have a particular aspect or type of aspect.," astrology, of a planet",,False,False,False,False,False,False,False,True
49387,astrological sign,Noun,"Any of twelve signs, corresponding to constellations, that are used as the basis of astrology", astrology,,False,False,False,False,False,False,False,True
56693,ayanamsa,Noun,The amount of precession., Vedic astrology,,False,False,False,False,False,False,False,True
11653,term,Noun,An essential dignity in which unequal segments of every astrological sign have internal rulerships which affect the power and integrity of each planet in a natal chart., astrology,,False,False,False,False,False,False,False,True
12447,tertiary planet,Noun,"An aspect in astrology, a calculated node in a reading, that is not a real planet.", astrology,,False,False,False,False,False,False,False,True
23238,time twin,Noun,Either of two people born at the same time on the same day and thus supposed to have similar traits or life events., astrology,,False,False,False,False,False,False,False,True
29331,tortuous,Adjective,Oblique; applied to the six signs of the zodiac (from Capricorn to Gemini) that ascend most rapidly and obliquely, astrology,Skeat Infortunate ascendent tortuous.,False,False,False,False,False,False,False,True
39546,trigon,Noun,A division consisting of three signs.," countable, astrology",,False,False,False,False,False,False,False,True
39547,trigon,Noun,A trine; an aspect of two planets distant 120 degrees from each other," countable, astrology",(Can we find and add a quotation of Hutton to this entry?),False,False,False,False,False,False,False,True
40164,trine,Adjective,Denoting the aspect of two celestial bodies which are 120 apart, astrology,"1621, Democritus Junior [pseudonym; Robert Burton], The Anatomy of Melancholy, Oxford: Printed by Iohn Lichfield and Iames Short, for Henry Cripps, OCLC 216894069; The Anatomy of Melancholy:[], 2nd corrected and augmented edition, Oxford: Printed by John Lichfield and James Short, for Henry Cripps, 1624, OCLC 54573970, partition III, section 1, member 2, subsection ii:The physicians refer this to their temperament, astrologers to trine and sextile aspects, or opposite of their several ascendants, lords of their genitures, love and hatred of planets []",False,False,False,False,False,False,False,True
40166,trine,Noun,An aspect of two astrological bodies when 120 apart., astrology,,False,False,False,False,False,False,False,True
40167,trine,Verb,To put in the aspect of a trine," transitive, astrology",Dryden By fortune he [Saturn] was now to Venus trined.,False,False,False,False,False,False,False,True
40313,trioctile,Noun,"An aspect of two planets with regard to the Earth when they are three octants, or three eighths of a circle (135 degrees), distant from each other", astrology,(Can we find and add a quotation of Hutton to this entry?),False,False,False,False,False,False,False,True
40843,triplicity,Noun,The division of the signs according to the number of the elements., astrology,,False,False,False,False,False,False,False,True
42311,tropical astrology,Noun,A form of astrology that measures the position of the sun relative to the vernal equinox, astrology,"This does not compensate for the precession of Earth's axis, so that the zodiac signs move around the sky relative to the vernal equinox by about one sign every 2150 years.",False,False,False,False,False,False,False,True
