0,1,10,11,12,13,14,15,16,17,2,3,4,5,6,7,8,9,Unnamed: 0,abbreviation,abbreviation_for_term,acronym,acronym_for_term,antonym,antonym_for_term,astrology,attribute,attributive_form,attributive_form_for_term,body,childish,colloquial,dated,definition,disease,domain,domain2,euphemistic,field,folklore,humorous,informal,jargon,literary,literature,main_noun_maria,main_noun_nltk,matter,measure,misspelling,misspelling_for_term,mythology,nonstandard,obsolete,offensive,plural,plural_for_term,pos,process,property,rare,role,slang,slur,supplementary_info,synonym,synonym_for_term,term,theology,units,vulgar
group,,,,,,,,,,,,,,,,,,50934,False,,False,,False,,False,False,False,,False,False,False,False,Any of a group of enzymes that hydrolyze ATP and thus provide motive power for motile structures such as microtubules.,False, biochemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,dynein,False,False,False
ammonium,group,,,,,,,,,,,,,,,,,2420,False,,False,,False,,False,False,False,,False,False,False,False,An ammonium group in which each hydrogen has been replaced by an alkyl or aryl group,False, chemistry,False,False,False,False,False,False,False,False,False,,ammonium group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,quaternary ammonium,False,False,False
family,,,,,,,,,,,,,,,,,,3561,False,,False,,False,,False,False,False,,False,False,False,False,Any of a family of proteins isolated from quiescent lung fibroblasts.,False, biochemistry,False,False,False,False,False,False,False,False,False,,family,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,quiescin,False,False,False
family,,,,,,,,,,,,,,,,,,351,False,,False,,False,,False,False,False,,False,False,False,False,Any of a family of natural products from fungi that are potent inhibitors of Saccharomyces cerevisiae.,False, organic chemistry,False,False,False,False,False,False,False,False,False,,family,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,zaragozic acid,False,False,False
group,,,,,,,,,,,,,,,,,,441,False,,False,,False,,False,False,False,,False,False,False,False,Any of a group of sesquiterpenoid phytoalexins present in maize,False, organic chemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,zealexin,False,False,False
group,,,,,,,,,,,,,,,,,,1422,False,,False,,False,,False,False,False,,False,False,False,False,Any of a group of metalloproteases containing a zinc atom,False, biochemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,"2015 July 11, Comprehensive Analysis of a Vibrio parahaemolyticus Strain Extracellular Serine Protease VpSP37, in PLOS ONE[1], DOI:10.1371/journal.pone.0126349:Also bacteria belonging to Vibrio parahaemolyticus are known to produce several proteases and collagenases including metalloproteases of the zincins superfamily and serine proteases.",False,,zincin,False,False,False
group,,,,,,,,,,,,,,,,,,3290,False,,False,,False,,False,False,False,,False,False,False,False,Any of a group of enzymes that catalyze the fermentation of simple carbohydrates to ethanol and carbon dioxide.,False, biochemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,zymase,False,False,False
group,,,,,,,,,,,,,,,,,,1582,False,,False,,False,,False,False,False,,False,False,False,False,Any of a group of unsaturated aliphatic cytotoxic lactones present in Lindera obtusiloba,False, organic chemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,obtusilactone,False,False,False
family,,,,,,,,,,,,,,,,,,1793,False,,False,,False,,False,False,False,,False,False,False,False,Any of a family of plasma-membrane proteins located at tight junctions,False, biochemistry,False,False,False,False,False,False,False,False,False,,family,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,occludin,False,False,False
ketone,group,,,,,,,,,,,,,,,,,2783,False,,False,,False,,False,False,False,,False,False,False,False,Any octose containing a ketone group,False, organic chemistry,False,False,False,False,False,False,False,False,False,,ketone group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,octulose,False,False,False
